时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/16 4:00,0.0037,0.0058,0.0054,3,0.5,2,0.082275,29,12,1025,1115
2018/3/16 5:00,0.0063,0.0072,0.007,3,0.5,2,0.097175,14,11,1904,17218
2018/3/16 6:00,0.0092,0.0219,0.0196,4,1,3,0.22415,12,12,3906,244464
2018/3/16 7:00,0.0244,0.0374,0.0351,6,2,4,0.362925,44,41,7280,237011
2018/3/16 8:00,0.0089,0.01,0.0098,6,1.5,3,0.20475,44,43,2572,40485
2018/3/16 9:00,0.0207,0.0155,0.0164,6,1.5,3,0.2774,47,46,20568,40868
2018/3/16 10:00,0.0048,0.0085,0.0078,3,0.75,2,0.140075,27,26,1797,28265
2018/3/16 11:00,0.0094,0.0249,0.0221,4,1,3,0.195575,36,34,4723,323533
2018/3/16 12:00,0.0043,0.0157,0.0137,4,0.25,3,0.061675,20,17,687,7287
2018/3/16 13:00,0.0136,0.0103,0.0109,5,0.75,2,0.132175,29,24,4930,18812
2018/3/16 14:00,0.0186,0.0164,0.0168,4,0.75,3,0.18205,23,22,10316,29118
2018/3/16 15:00,0.0089,0.0093,0.0092,4,1,3,0.4836,17,16,3286,7464
2018/3/16 16:00,0.0124,0.007,0.0079,5,1.5,3,0.995475,16,12,5524,5314
2018/3/16 17:00,0.0112,0.0084,0.0089,7,1.5,3,0.21735,43,43,5148,15998
2018/3/16 18:00,0.0256,0.0144,0.0164,8,3.75,5,0.444425,51,50,9735,50472
2018/3/16 19:00,0.0528,0.0188,0.0248,9,5.25,5,0.89735,68,68,32440,75437
2018/3/16 20:00,0.0613,0.0405,0.0442,12,6,6,1.26845,94,92,24165,189709
2018/3/16 21:00,0.0671,0.0545,0.0567,9,4.75,5,1.133275,44,39,22592,179448
2018/3/16 22:00,0.0256,0.0312,0.0302,7,2.25,4,0.376,13,13,7284,62720
2018/3/16 23:00,0.0074,0.0077,0.0076,5,1,3,0.144775,20,20,1564,5143
2018/3/17 0:00,0.0052,0.0063,0.0061,4,1,2,0.1217,24,13,1338,2156
2018/3/17 1:00,0.005,0.0059,0.0057,4,1.25,3,0.108975,17,10,1438,2470
2018/3/17 2:00,0.004,0.006,0.0056,3,0.75,2,0.08605,0,0,1089,2015
2018/3/17 3:00,0.004,0.0057,0.0054,4,0.75,2,0.085875,2,1,1091,1473
2018/3/17 4:00,,,,0,0,0,0,0,0,0,0
2018/3/17 5:00,0.0012,0.0052,0.0045,2,0,2,0.0175,0,0,79,129
2018/3/17 6:00,0.0018,0.0105,0.009,3,0,2,0.03285,2,1,622,23871
2018/3/17 7:00,0.0127,0.0284,0.0256,4,1,3,0.2828,19,19,2570,100220
2018/3/17 8:00,0.0137,0.0088,0.0096,5,1,4,0.175625,36,33,11740,24825
2018/3/17 9:00,0.006,0.007,0.0068,3,0.5,2,0.10285,20,16,3071,28639
2018/3/17 10:00,0.0079,0.0112,0.0106,5,0.75,4,0.1599,49,48,2711,33430
2018/3/17 11:00,0.004,0.0064,0.0059,5,0.5,3,0.07715,24,22,2321,10942
2018/3/17 12:00,0.0411,0.0273,0.0298,6,1,4,0.28695,45,40,21484,75582
2018/3/17 13:00,0.0341,0.0763,0.0688,6,2.25,4,0.37085,17,13,14571,49800
2018/3/17 14:00,0.0254,0.0186,0.0198,7,2.5,4,0.318175,19,17,11537,29428
2018/3/17 15:00,0.0089,0.0106,0.0103,8,2,3,0.209175,39,38,5161,69237
2018/3/17 16:00,0.0103,0.0162,0.0152,6,1.25,3,0.18755,38,35,1448,34845
2018/3/17 17:00,0.024,0.0276,0.027,6,3,4,0.5317,24,18,9089,373344
2018/3/17 18:00,0.0264,0.0325,0.0314,8,4.25,5,0.6161,22,22,13024,467884
2018/3/17 19:00,0.0256,0.0243,0.0245,9,4,4,0.438175,45,45,22581,104392
2018/3/17 20:00,0.0849,0.0366,0.0451,9,4.5,6,0.9732,45,45,52282,148412
2018/3/17 21:00,0.0368,0.0235,0.0259,11,4.25,5,0.534475,54,54,19078,93463
2018/3/17 22:00,0.0476,0.0513,0.0507,8,4,5,0.779775,13,13,13031,150623
2018/3/17 23:00,0.0431,0.0349,0.0363,7,3,4,0.8564,5,5,16022,408742
2018/3/18 0:00,0.02,0.0399,0.0364,6,2.25,4,0.379025,2,0,10396,314724
2018/3/18 1:00,0.0158,0.0128,0.0133,4,1,3,0.1956,0,0,6510,10636
2018/3/18 2:00,0.0089,0.0116,0.0112,4,1,3,0.1582,0,0,2722,6562
2018/3/18 3:00,0.0064,0.0088,0.0084,4,1,3,0.138025,0,0,2304,20558
2018/3/18 4:00,0.0034,0.0052,0.0049,4,1,2,0.086525,1,1,1099,1659
2018/3/18 5:00,0.0036,0.0053,0.005,5,1,2,0.090325,0,0,946,1689
2018/3/18 6:00,0.0114,0.0096,0.0099,4,1.25,3,0.1973,2,1,3257,60887
2018/3/18 7:00,0.0412,0.0231,0.0263,7,3,4,0.393525,48,48,25086,113746
2018/3/18 8:00,0.0236,0.0321,0.0306,8,3,4,0.3991,32,30,11187,302463
2018/3/18 9:00,0.0076,0.0118,0.0111,4,0.25,3,0.1209,31,31,3495,89514
2018/3/18 10:00,0.0152,0.0225,0.0212,5,1,3,0.20085,26,23,15149,258628
2018/3/18 11:00,0.0129,0.0366,0.0324,6,2.25,4,0.26575,29,26,8404,474174
2018/3/18 12:00,0.0394,0.0296,0.0313,7,3.25,4,0.420075,38,36,22464,292629
2018/3/18 13:00,0.0352,0.0194,0.0222,8,3,4,0.3164,35,33,27406,130868
2018/3/18 14:00,0.0199,0.0199,0.0199,9,4,5,0.359725,38,36,9870,52392
2018/3/18 15:00,0.0301,0.0377,0.0363,9,4,5,0.545,57,57,19238,348646
2018/3/18 16:00,0.0463,0.0373,0.0389,11,4,5,0.579675,61,60,32228,334275
2018/3/18 17:00,0.0296,0.0557,0.0511,9,3.75,4,0.4736,37,33,13047,368218
2018/3/18 18:00,0.0193,0.0519,0.0461,9,3.75,4,0.36395,67,64,9018,396804
2018/3/18 19:00,0.0398,0.0633,0.0591,14,4.5,6,0.61435,77,77,18208,492021
